ID,model,engine_power,age_in_days,km,previous_owners,lat,lon,price,concadtBC,len(no_of_char),sumif,averageif,countifs
27,pop,51,3592,124000,1,40.96617889,17.11647987,6800,pop 51,3,3702.082659,19214.86895,1
28,sport,51,3531,100000,1,40.97645187,14.17228031,4950,sport 51,5,8588.148732,15513.1641,1
29,lounge,51,762,28900,1,45.13167191,8.449170113,10640,lounge 51,6,867.580842,5773.225835,1
30,lounge,51,670,4000,1,41.34975052,13.35332012,9500,lounge 51,6,4776.703071,2040.243296,1
31,lounge,62,2769,59216,1,43.78237152,11.25498962,6990,lounge 62,6,2887.037361,9871.148194,1
32,lounge,51,4169,99477,2,40.55056381,14.22562504,5900,lounge 51,6,4276.776189,15665.3966,0
33,lounge,51,821,21730,2,41.90322113,12.49565029,10500,lounge 51,6,928.3988714,4737.485553,0
34,sport,51,3927,140000,2,40.75593185,14.69019032,5200,sport 51,5,4035.446122,21319.77802,0
35,lounge,51,640,32033,2,44.28387833,11.88813972,9790,lounge 51,6,749.1720181,6082.310288,0
36,pop,51,3653,138116,2,40.63317108,17.63460922,5000,pop 51,3,3764.26778,20983.03825,0
37,pop,51,852,17000,1,45.50516129,8.939100266,8990,pop 51,3,958.4442616,3850.063466,1
38,pop,51,3013,58527,1,45.68825912,8.731450081,7200,pop 51,3,3119.419709,9835.48853,1
39,sport,51,790,43100,1,45.33407974,11.37687016,9950,sport 51,5,898.7109499,7707.530136,1
40,pop,51,1858,13373,1,41.90322113,12.49565029,9000,pop 51,3,1964.398871,3477.056982,1
41,sport,51,4139,119000,1,45.34931946,7.742599964,4890,sport 51,5,9134.091919,18305.4417,1
42,pop,51,609,28500,1,45.74602127,9.049969673,10900,pop 51,3,715.7959909,5731.113713,1
43,pop,51,1096,83000,1,41.95972061,12.79805565,7900,pop 51,3,1202.757776,13157.82254,1
44,lounge,73,4049,98000,1,38.2181282,15.2402401,5999,lounge 73,6,4176.458368,15454.3512,1
45,lounge,51,456,12693,1,45.39360046,10.48223972,10900,lounge 51,6,563.8758402,3451.696549,1
46,lounge,51,762,14586,1,42.34196854,12.35848999,10500,lounge 51,6,868.7004585,3708.528637,1
47,lounge,51,821,27640,1,41.90322113,12.49565029,10400,lounge 51,6,927.3988714,5567.485553,1
48,lounge,51,2039,49000,1,41.90322113,12.49565029,7500,lounge 51,6,2145.398871,8378.62841,1
